main term,sub term
Standalones,Elantris
Standalones,Warbreaker
Mistborn Era 1,Final Empire
Mistborn Era 1,Well of Ascension
Mistborn Era 1,Hero of Ages
Stormlight Archives,The Way of Kings
Stormlight Archives,Words of Radiance
Stormlight Archives,Edgedancer
Stormlight Archives,Oathbringer
Stormlight Archives,Dawnshard
Stormlight Archives,Rhythm of Warbreaker
Mistborn Era 2,The Alloy of Law
Mistborn Era 2,Shadows of Self
Mistborn Era 2,The Bands of Mourning
Mistborn Era 2,The Lost Metal
Standalones,Tress of the Emerald Sea
Standalones,Yumi and the Nightmare Painter
Standalones,Sunlit main
Arcanum Unbounded,The Hope of Elantris
Arcanum Unbounded,The Eleventh Metal
Arcanum Unbounded,The Emperor's Soul
Arcanum Unbounded,Allomancer Jak and the Pits of Eltania
Arcanum Unbounded,White Sand
Arcanum Unbounded,Shadows for Silence in the Forests of Hell
Arcanum Unbounded,Sixth of Dusk
Arcanum Unbounded,Mistborn: Secret History
